titulo,mais tocada,letra,compositor
Blues da Piedade,1,"Agora eu vou cantar pros miseráveis Que vagam pelo mundo derrotados Pra essas sementes mal plantadas Que já nascem com cara de abortadas Pras pessoas de alma bem pequena Remoendo pequenos problemas Querendo sempre aquilo que não têm </p>Pra quem vê a luz Mas não ilumina suas minicertezas Vive contando dinheiro E não muda quando é Lua cheia Pra quem não sabe amar Fica esperando Alguém que caiba no seu sonho Como varizes que vão aumentando Como insetos em volta da lâmpada</p>Vamos pedir piedade Senhor, piedade Pra essa gente careta e covarde Vamos pedir piedade Senhor, piedade Dê lhes grandeza e um pouco de coragem</p>Quero cantar só para as pessoas fracas Que tão no mundo e perderam a viagem Quero cantar o blues Com o pastor e o bumbo na praça Vamos pedir piedade Pois há um incêndio sob a chuva rala Somos iguais em desgraça Vamos cantar o blues da piedade</p>Vamos pedir piedade Senhor, piedade Pra essa gente careta e covarde Vamos pedir piedade Senhor, piedade Lhes dê grandeza e um pouco de coragem</p>",cazuza / roberto frejat
Blues do Ano 2000,0,"Se até o ano 2000 o mundo não acabar E eu estiver vivo na rua ou num bar Eu vou pra sempre te esperar </p>Blues é assim, baby Blues é assim Blues é assim, baby Blues é assim</p>Quando eu estiver velho, tarado e gagá Com um copinho de cana eu vou lembrar Do teu gingado, e os meus olhos vão brilhar</p>Blues é assim, baby Blues é assim Blues é assim, baby Blues é assim</p>Mesmo que outras pessoas eu venha amar E encontre com elas um pouco de paz Eu vou pra sempre te esperar</p>Blues é assim, baby Blues é assim Blues é assim, baby Blues é assim</p>",cazuza / george israel / nilo romero
Blues do Iniciante,0,"Eu traço tantos planos Brilhantes, antes De te ganhar num salto Mortal, de iniciante Na pirraça de te ter Por enquanto, por enquanto Eu miro o índio que eu sou No teu ser E alcanço </p>Viagens tão óbvias Loucuras tão sóbrias De um iniciante De um iniciante</p>Aprendiz das piscinas Tão tingidas de escuro Aonde, peixe safo Eu nado até você Até o teu mundo Que eu também procuro Nesse quarto sem luz Nessa ausência de tudo</p>Se prepare, eu tô ""locky"" Só precisas de um toque De um toque de iniciante De um toque de iniciante</p>",cazuza / de / frejat / guto goffi / mauricio barros
Boa Vida,0,"Eu nunca mais quero outra vida É, eu ando um bocado mudado Eu nunca mais quero outra vida, eu não Olha só como eu tô bem tratado É que os tempos mudaram E agora eu ando muito bem acompanhado (É, eu ando, sim) </p>Eu nunca mais quero outra vida Jogado na rua feito um vira-lata O amor um dia chega, irmão Mesmo pr'um cara pirado Que só sabe ficar bebendo pinga Cantando rock, contando vantagem</p>Agora a gente só vive grudado Pela rua aos beijos e abraços Todo mundo repara E mesmo os meus amigos mais canalhas Me dão razão quando eu falo</p>Que eu nunca mais quero outra vida Me machucar pela pessoa errada O amor tem cartas já marcadas E eu nunca tive vocação pra otário É, os tempos mudaram E agora eu ando muito bem acompanhado</p>",cazuza / roberto frejat
Boas Novas,0,"Poetas e loucos aos poucos Cantores do porvir E mágicos das frases Endiabradas sem mel Trago boas novas Bobagens num papel Balões incendiados Coisas que caem do céu Sem mais nem porquê </p>Queria um dia no mundo Poder te mostrar o meu Talento pra loucura Procurar longe do peito Eu sempre fui perfeito Pra fazer discursos longos Fazer discursos longos Sobre o que não fazer Que é que eu vou fazer?</p>Senhoras e senhores Trago boas novas Eu vi a cara da morte E ela estava viva Eu vi a cara da morte E ela estava viva - viva!</p>Direi milhares de metáforas rimadas E farei Das tripas coração Do medo, minha oração Pra não sei que Deus ""H"" Da hora da partida Na hora da partida A tiros de vamos pra vida Então, vamos pra vida</p>Senhoras e senhores Trago boas novas Eu vi a cara da morte E ela estava viva Eu vi a cara da morte E ela estava viva - viva!</p>",cazuza
Bobeira,0,"Bobeira, você Com essa cara de quem não gostou </p>Bobeira, você Não me entendeu direito Se chateou Eu nem me defendi Foi brincadeira, a pior brincadeira que já fiz</p>E depois porre é porre</p>",cazuza
Born To Rock 'n' Roll,0,Eu nasci pro rock'n roll Já nasci pra bailar Porque o rock libera E o meu negócio é liberar </p>Eu nasci para um bar Pra uma zona vulgar Dar vexame na rua Beber cachaça de macumba</p>Eu nasci pra chocar As pessoas mentirosas Eu nasci pra provar Que são inferiores</p>Eu nasci pra cantar Cantar bem alto Pra todo mundo ouvir Quem adora um barato</p>Estou sempre duas doses a menos Gosto de madrugada amena E se alguém tiver a fim De cortar a minha onda Eu vou sentir pena</p>Nasci pro rock'n roll Nasci pro carnaval Nasci pra desafinar O coro dos débeis mentais</p>,cazuza
Brasil,1,"Não me convidaram Pra esta festa pobre Que os homens armaram Pra me convencer A pagar sem ver Toda essa droga Que já vem malhada Antes de eu nascer </p>Não me ofereceram Nem um cigarro Fiquei na porta Estacionando os carros Não me elegeram Chefe de nada O meu cartão de crédito É uma navalha</p>Brasil! Mostra tua cara Quero ver quem paga Pra gente ficar assim Brasil! Qual é o teu negócio? O nome do teu sócio? Confia em mim</p>Não me convidaram Pra essa festa pobre Que os homens armaram Pra me convencer A pagar sem ver Toda essa droga Que já vem malhada Antes de eu nascer</p>Não me sortearam A garota do Fantástico Não me subornaram Será que é o meu fim? Ver TV a cores Na taba de um índio Programada Pra só dizer: Sim, sim</p>Brasil! Mostra a tua cara Quero ver quem paga Pra gente ficar assim Brasil! Qual é o teu negócio? O nome do teu sócio? Confia em mim</p>Grande pátria Desimportante Em nenhum instante Eu vou te trair Não, não vou te trair</p>Brasil! Mostra a tua cara Quero ver quem paga Pra gente ficar assim Brasil! Qual é o teu negócio? O nome do teu sócio? Confia em mim</p>Brasil! Mostra a tua cara Quero ver quem paga Pra gente ficar assim Brasil! Qual é o teu negócio? O nome do teu sócio? Confia em mim</p>Confia em mim Brasil!</p>",cazuza / george israel / nilo romero
Brasil TV,0,"Aqui nesta esquina do Brasil Eu te peço um pouco de mingau Mingau de amendoim com nata Eu sou romântico nato Feito foda de gato Balanço de barco num mar Bem morno, um transtorno de par Te amei meloso demais </p>Aqui nesta quinta de loto Eu te peço um pouco de sonho Ficaremos milionários medonhos Por sorte um palácio, um canto Pra quem foi premiado Geladeira, fogão e impasse Teremos sorteios doces Te encontrei por acaso</p>Preciso rápido um caso Pra sempre por sinal um vaso Cheio de flores escolhidas Cheio de terra e de vida Sinais pra sempre, cicatriz Guerrilheiros de hortelã Na porta do meu carro Eu não tenho culpa.</p>",cazuza
Brazilian Prayer,0,"I've been following you Since I was born Counting my fingers Facing the fears I've been so anxious And sad You must belive, it's serious All my days are like Cruel rainy days in the hot summer </p>Ande it hurts me, baby Hurts like a knife in my eyes Like a shot of sadness I live in madness I'm really crazy Living without tenderness Nobody even looks at me I've been following you, baby Since I was born In this fuking world I come to know you I'm here to love you Understand me Trust me Project me Have pity on me</p>",cazuza
