titulo,mais tocada,letra,compositor
"Alo, Alo, Taí, Carmen Miranda",0,"Uma pequena notável  Cantou muitos sambas É motivo de carnaval Pandeiro, camisa listrada Tornou a baiana internacional </p>Seu nome corria chão Na boca de toda gente Que grilo é esse Vou embarcar nessa onda É o Império Serrano que canta Dando uma de Carmen Miranda</p>Cai, cai, cai, cai, quem mandou escorregar Cai, cai, cai, cai, eu não vou te levantar Cai, cai, cai, cai, quem mandou escorregar Cai, cai, cai, cai, é melhor se levantar...</p>",heitor / maneco / wilson diabo
Alto da Bronze,0,"Alto da Bronze, cabeça quebrada, praça querida Sempre lembrada, a Praça Onze da molecada </p>Praça sem banco, do rato branco e do futebol Da garotada endiabrada, das manhãs de Sol</p>Guardo a eterna lembrança Do tempo feliz em que eu era criança Do tempo em que a vida era Da minha infância a grande quimera</p>Hoje eu, pobre profano Me lembro de ti e dos meus desenganos Oh! Meu Alto da Bronze dos meus oito anos</p>",nao identificado
Altos e Baixos,0,"Foi, quem sabe, esse disco Esse risco de sombra em teus cílios Foi ou não meu poema no chão Ou talvez nossos filhos </p>As sandálias de saltos tão altos O relógio batendo, o sol posto O relógio, as sandálias E eu batendo em teu rosto</p>E a queda dos saltos tão altos Sobre os nossos filhos Com um raio de sangue no chão Do risco em teus cílios</p>Foram discos demais, desculpas demais Já vão tarde essas tardes e mais tuas aulas Meus táxis, whisky, Dietil, Diempax</p>Ah, mas há que se louvar  Entre altos e baixos O amor quando traz tanta vida Que até pra morrer leva tempo demais! Que até pra morrer leva tempo demais!</p>",aldir blanc / sueli costa
Amante À Moda Antiga,0,,nao identificado
Amor a Natureza,0,"Amor À Natureza Paulinho da Viola Composição: (Paulinho da Viola) </p>Relíquia do folclore nacional Jóia rara que apresento Nesta paisagem em que me vejo No centro da paixão e do tormento Sem nenhuma ilusão Neste cenário de tristeza Relembro momentos de real bravura Dos que lutaram com ardor Em nome do amor à natureza</p>Cinzentas nuvens de fumaça Umedecendo meus olhos De aflição e de cansaço Imensos blocos de concreto Ocupando todos os espaços Daquela que já foi a mais bela cidade Que o mundo inteiro consagrou Com suas praias tão lindas Tão cheias de graça, de sonho e de amor</p>Flutua no ar o desprezo Desconsiderando a razão Que o homem não sabe se vai encontrar Um jeito de dar um jeito na situação Uma semente atirada Num solo fértil não deve morrer É sempre uma nova esperança Que a gente alimenta de sobreviver</p>",paulinho da viola
Amor Até o Fim,0,"Amor não tem que se acabar Eu quero e sei que vou ficar Até o fim eu vou te amar Até que a vida em mim resolva se apagar </p>Amor não tem que se acabar Eu quero e sei que vou ficar Até o fim eu vou te amar Até que a vida em mim resolva se apagar</p>O amor é como a rosa num jardim A gente cuida, a gente olha A gente deixa o sol bater  Pra crescer, pra crescer</p>A rosa do amor tem sempre que crescer A rosa do amor não vai despetalar Pra quem cuida bem da rosa Pra quem sabe cultivar</p>Amor não tem que se acabar Até o fim da minha vida eu vou te amar Eu sei que o amor não tem, não tem que se apagar Até o fim da minha vida eu vou te amar Eu sei que o amor não tem que se apagar</p>Amor não tem que se acabar Eu quero e sei que vou ficar Até o fim eu vou te amar Até que a vida em mim resolva se apagar</p>Amor não tem que se acabar Porque eu quero e sei que vou ficar Até o fim eu vou te amar Até que a vida em mim resolva se apagar</p>O amor é como a rosa num jardim A gente cuida, a gente olha A gente deixa o sol bater  Pra crescer, pra crescer</p>A rosa do amor tem sempre que crescer A rosa do amor não vai despetalar Pra quem cuida bem da rosa Pra quem sabe cultivar</p>Amor não tem que se acabar Até o fim da minha vida eu vou te amar Eu sei que o amor não tem, não tem que se apagar Até o fim da minha vida eu vou te amar Eu sei que o amor não tem, não tem que se apagar</p>Até o fim Até o fim Até o fim Até o fim eu sei que vou te amar</p>",gilberto gil
Amor Demais,0,"A canção é o lamento do amor demais Quem chorou, quem sofreu Quem perdeu a paz Vem dizer na canção O que chorou seu coração Vem, a noite é linda, vem cantar Vem, toda a tristeza vai passar Só assim tu serás Amor sem fim, amor demais Vem, vem, vem a noite é tão linda Vem cantar vem toda tristeza vai passar Só assim tu serás Amor sem fim, amor demais </p>",ed lincoln / silvio cesar
"Amor, Amor",0,"Amor, amor Quero um amor que não tenha fim Amor, amor Quero um amor pra mim </p>Amor, amor Quero um amor que me queira bem Amor, amor Eu preciso amar alguém</p>Vivo a sonhar Que estou a beijar O meu grande amor Sempre a esperar Quem me queira amar</p>O meu peito agora diz Eu preciso de um amor Só assim serei feliz</p>Amor, amor Quero um amor que não tenha fim Amor ,amor Quero um amor pra mim</p>",bill caesar / carlos imperial
Andança,1,"Vim tanta areia andei Da lua cheia eu sei, uma saudade imensa Vagando em verso eu vim vestido de cetim Na mão direita rosas Vou levar Vou levar </p>Me dá a mão Amor Me leva, amor Por onde for, quero ser seu par Me dá a mão Amor Me leva, amor Por onde for quero ser seu par</p>Rodei na roda andei, dança da moda eu sei Cansei de ser sozinha Verso encantado usei, meu namorado é rei Nas lendas do caminho Onde andei Onde andei</p>Me dá a mão Amor Me leva, amor Por onde for, quero ser seu par Me dá a mão Amor Me leva, amor Por onde for quero ser seu par</p>",paulinho tapajos / edmundo souto / danilo caymmi
Aos Nossos Filhos,0,Perdoem a cara amarrada Perdoem a falta de abraço Perdoem a falta de espaço Os dias eram assim </p>Perdoem por tantos perigos Perdoem a falta de abrigo Perdoem a falta de amigos Os dias eram assim</p>Perdoem a falta de folhas Perdoem a falta de ar Perdoem a falta de escolha Os dias eram assim</p>E quando passarem a limpo E quando cortarem os laços E quando soltarem os cintos Façam a festa por mim</p>E quando largarem a mágoa E quando lavarem a alma E quando lavarem a água Lavem os olhos por mim</p>Quando brotarem as flores Quando crescerem as matas Quando colherem os frutos Digam o gosto pra mim</p>Digam o gosto pra mim</p>,ivan lins / vitor martins
