ngram,frequencia
tirana juventude,2
juventude dom,2
dom garotas,2
garotas sonhos,2
sonhos mil,2
mil transas,2
transas dar,2
dar bandeira,2
bandeira bom,2
bom olhando,2
olhando cidade,2
grande cheia,1
cheia fúria,1
fúria som,2
som querendo,2
querendo estrela,2
estrela sexo,2
sexo laser,2
laser neon,2
neon cidade,2
grande droga,2
droga rock,2
rock dá,2
dá tom,2
tom rock,1
rock mil,1
mil milhões,2
milhões habitantes,2
habitantes deste,2
deste parque,2
parque industrial,2
industrial negros,2
negros mulheres,2
mulheres menores,2
menores filhos,2
filhos crise,2
crise geral,2
geral iguais,2
iguais mesma,2
mesma bomba,2
bomba vai,2
vai cair,2
cair quintal,2
quintal ídolo,2
ídolo deus,2
deus esgotos,2
esgotos musa,2
musa urbana,2
urbana fez,2
fez sucesso,2
sucesso saber,2
saber disso,2
disso bater,2
bater tudo,2
tudo rock,2
rock deu,1
deu vida,1
vida forte,1
forte morte,1
morte importante,1
importante deus,1
deus deus,1
deus mundo,1
mundo deus,2
deus todo,1
todo mundo,7
mundo voz,1
voz morta,1
morta ainda,1
ainda canta,1
canta ainda,1
ainda espanta,1
espanta mau,1
mau agouro,1
agouro nessa,1
nessa terra,1
terra onde,2
onde silêncio,1
silêncio literalmente,1
literalmente ouro,1
ouro nasci,1
nasci terra,1
onde céu,1
céu próprio,1
próprio chão,1
chão faz,1
faz tempo,2
tempo ninguém,1
ninguém canta,1
canta canção,1
canção falando,1
falando fácil,1
fácil claro-fácil,1
claro-fácil claramente,1
claramente coisas,1
coisas acontecem,1
acontecem todo,1
todo dia,2
dia tempo,1
tempo lugar,1
lugar fica,1
fica perdendo,1
perdendo sono,1
sono pretendendo,1
pretendendo dono,1
dono palavras,1
palavras voz,1
voz novo,1
novo vida,2
sempre nova,1
nova acontecendo,1
acontecendo surpresa,1
surpresa caindo,1
caindo pedra,1
pedra povo,1
povo tarde,1
tarde volto,1
volto trabalho,1
trabalho mestre,1
mestre joaquim,1
joaquim pergunta,1
pergunta assim,1
assim mim,1
mim vão,1
vão coisas,3
coisas vão,2
coisas menino,1
menino respondo,1
respondo assim,1
assim namorada,1
namorada voltou,1
voltou norte,1
norte ficou,1
ficou quase,1
quase louca,1
louca arranjou,1
arranjou emprego,1
emprego bom,1
bom melhor,2
melhor amigo,1
amigo atropelado,1
atropelado voltando,1
voltando casa,1
casa caso,1
caso comum,3
comum trânsito,3
trânsito caso,2
trânsito geografia,1
geografia aprendi,1
aprendi mundo,1
mundo lugar,1
lugar onde,6
onde jovem,1
jovem pode,1
pode amar,1
amar feliz,1
feliz procurei,1
procurei passagem,1
passagem avião,1
avião navio,1
navio linha,1
linha praquele,1
praquele país,1
país poeta,1
poeta moreno,1
moreno latino,1
latino versos,1
versos sangue,1
sangue vida,1
vida amor,1
amor escreveu,1
escreveu onde,1
onde anda,3
anda ninguém,1
ninguém sabe,1
sabe fez,1
fez viagem,1
viagem desapareceu,1
desapareceu deita,1
deita lado,1
lado dá-me,1
dá-me beijo,1
beijo toda,1
toda noite,2
noite corpo,1
corpo vêm,1
vêm buscar-me,1
buscar-me manhã,1
manhã aberta,1
aberta prova,1
prova certa,1
certa amanheceu,1
amanheceu amanheceu,1
amanheceu menina,1
menina amanheceu,1
amanheceu ainda,1
ainda amigos,1
amigos novo,2
novo momento,2
momento precisa,2
precisa chegar,2
chegar sei,2
sei difícil,2
difícil começar,2
começar tudo,2
tudo novo,5
novo quero,2
quero tentar,2
tentar garota,1
garota compreende,1
compreende diz,1
diz desse,1
desse jeito,3
jeito apresso,1
apresso fim,1
fim fala,1
fala pai,1
pai lido,1
lido corrido,2
corrido sabe,1
sabe américa,1
américa toda,1
toda assim,1
assim conhece,1
conhece pede,1
pede alegre,1
alegre nada,1
nada acontece,1
acontece alegre,1
alegre coração,1
coração dá,1
dá jornal,1
jornal todo,1
dia canto,1
canto negócio,1
negócio cantar,1
cantar luar,1
sertão amigos,1
tentar ano,1
ano passado,16
passado apesar,1
apesar dor,1
dor silêncio,1
silêncio cantei,1
cantei morrer,1
morrer alegria,1
alegria hoje,1
hoje falo,1
falo futuro,1
futuro tira,1
tira revólver,1
revólver puxa,1
puxa talão,1
talão cheque,1
cheque dá,1
dá bom,2
bom dia,1
dia sei,1
sei possivel,1
possivel dizer,1
dizer todas,1
todas coisas,1
coisas nesse,1
nesse feliz,1
feliz ano,1
ano novo,1
novo gente,1
gente ganhou,1
ganhou falta,1
falta algum,1
algum tempo,1
tempo 1-9-8-4,1
1-9-8-4 agora,1
agora paz,1
paz temia,1
temia chegou,1
chegou saia,1
saia caminho,2
caminho prefiro,2
prefiro andar,2
andar sozinho,2
sozinho deixem,2
deixem decido,2
decido vida,2
vida preciso,2
preciso digam,2
digam lado,2
lado nasce,2
nasce sol,2
sol porque,2
porque bate,2
bate coração,2
coração sonho,1
sonho escrevo,1
escrevo letras,1
letras grandes,1
grandes novo,1
novo muros,1
muros país,1
país joão,1
joão tempo,2
tempo andou,2
andou mexendo,2
mexendo gente,2
gente sim,2
sim john,2
john esqueço,2
esqueço felicidade,2
felicidade arma,4
arma quente,4
quente quente,4
quente saia,1
coração sob,1
sob luz,2
luz cigarro,1
cigarro cama,1
cama rosto,1
rosto rouge,1
rouge batom,1
batom diz,1
diz joão,1
quente quero,1
quero falar,3
falar grande,1
grande amor,1
amor coisas,1
coisas aprendi,1
aprendi discos,1
discos quero,1
quero contar,2
contar vivi,1
vivi tudo,1
tudo aconteceu,1
aconteceu comigo,1
comigo viver,1
viver melhor,3
melhor sonhar,3
sonhar sei,1
sei amor,1
coisa boa,1
boa sei,1
sei qualquer,1
qualquer canto,1
canto menor,1
menor vida,1
vida qualquer,1
qualquer pessoa,1
pessoa cuidado,1
cuidado bem,1
bem perigo,1
perigo esquina,1
esquina venceram,1
venceram sinal,1
sinal fechado,1
fechado jovens,1
jovens abraçar,1
abraçar irmão,1
irmão beijar,1
beijar menina,3
menina rua,1
rua fez,1
fez lábio,1
lábio braço,1
braço voz,1
voz pergunta,1
pergunta paixão,1
paixão digo,1
digo encantado,1
encantado nova,1
nova invenção,1
invenção vou,1
vou ficar,2
ficar nesta,1
nesta cidade,1
cidade vou,1
vou voltar,2
voltar pro,3
pro sertão,4
sertão pois,1
pois vejo,1
vejo vir,2
vir vindo,2
vindo vento,2
vento cheiro,2
cheiro nova,2
nova estação,2
estação sinto,2
sinto tudo,2
tudo ferida,2
ferida viva,2
viva coração,2
coração faz,1
tempo vi,1
vi rua,1
rua cabelo,1
cabelo vento,1
vento gente,1
gente jovem,1
jovem reunida,1
reunida parede,1
parede memória,1
memória lembrança,1
lembrança quadro,1
quadro dói,1
dói dor,1
dor perceber,2
perceber apesar,2
apesar termos,2
termos feito,2
feito tudo,2
tudo tudo,7
tudo fizemos,2
fizemos ainda,2
ainda mesmos,6
mesmos vivemos,5
vivemos ainda,3
vivemos pais,2
pais ídolos,1
ídolos ainda,1
mesmos aparências,1
aparências aparências,1
aparências enganam,1
enganam diz,1
diz apareceu,1
apareceu ninguém,1
ninguém pode,1
pode dizer,1
dizer então,1
então enganando,1
enganando ama,1
ama passado,2
passado vê,2
vê ama,1
vê novo,1
novo sempre,1
sempre vem,1
vem hoje,1
hoje sei,1
sei sei,1
sei deu,1
deu ideia,1
ideia nova,1
nova consciência,1
consciência juventude,1
juventude casa,1
casa guardado,1
guardado deus,1
deus contando,1
contando metais,1
metais dor,1
pais claro,1
claro quero,2
quero clarão,1
clarão lua,1
lua claro,1
quero branco,1
branco preto,1
preto preciso,1
preciso precisamos,1
precisamos verdade,1
verdade nua,2
nua crua,2
crua vou,1
vou remendar,1
remendar vosso,1
vosso soneto,1
soneto batuco,1
batuco canto,1
canto concreto,1
concreto balançar,1
balançar coreto,1
coreto enquanto,1
enquanto canto,1
canto quatro,1
quatro paredes,1
paredes pecado,1
pecado mortal,1
mortal segredo,1
segredo humano,1
humano pro,1
pro fundo,1
fundo redes,1
redes tecendo,1
tecendo hora,1
hora aurora,1
aurora geral,1
geral enquanto,1
enquanto crucificado,1
crucificado varado,1
varado lança,1
lança cansa,1
cansa ferir,1
ferir neste,1
neste bar,1
bar oeste-nodeste-sul,1
oeste-nodeste-sul falo,1
falo cifrado,1
cifrado hello,1
hello bandidos,1
bandidos bang,1
bang hora,1
hora fugir,1
fugir canto,1
canto tão,1
tão natural,1
natural ato,1
ato amar,1
amar andar,1
andar respirar,1
respirar dar,1
dar vez,1
vez voz,1
voz sentidos,1
sentidos virgem,1
virgem maria-dama,1
maria-dama cabaré,1
cabaré quero,1
quero gozar,3
gozar toda,1
noite sobre,1
sobre tus,1
tus pechos,1
pechos dormidos,1
dormidos romã,1
romã romã,1
romã dançar,1
dançar deixar,1
deixar mocidade,1
mocidade louca,1
louca daquela,1
daquela loucura,1
loucura aventura,1
aventura estrada,1
estrada estrela,2
estrela amanhã,1
amanhã felicidade,1
quente haverá,1
haverá aguente,1
aguente tanta,1
tanta mudez,1
mudez perder,1
perder saúde,1
saúde palavra,1
palavra dom,1
dom bom,1
bom conosco,1
conosco vez,1
vez felicidade,1
quente coisa,1
coisa quente,1
quente brinco,1
brinco take,1
take easy,1
easy brother,1
brother charles,1
charles anjo,1
anjo 45,1
45 tá,1
tá qualquer,1
coisa irmão,1
irmão use,1
use berro,1
berro coração,1
coração vida,1
vida vem,1
vem fim,1
fim mês,2
mês pode,1
pode fazer,1
fazer homem,1
comum neste,1
neste presente,1
presente instante,1
instante senão,1
senão sangrar,1
sangrar tentar,1
tentar inaugurar,1
inaugurar vida,1
vida comovida,1
comovida inteiramente,1
inteiramente livre,1
livre triunfante,1
triunfante posso,1
posso fazer,2
fazer juventude,1
juventude máxima,1
máxima saúde,1
saúde hoje,1
hoje pretender,1
pretender usar,1
usar voz,1
voz posso,1
fazer simples,1
simples cantador,1
cantador coisas,1
coisas porão,1
porão deus,1
deus fez,1
fez cães,1
cães rua,1
rua morder,1
morder sob,1
luz lua,1
lua tratam,1
tratam gente,1
gente claro,1
claro pontapés,1
pontapés vez,1
vez homem,1
homem tempo,1
tempo botas,1
botas sangue,1
sangue roupas,1
roupas lorca,1
lorca olho,1
olho frente,1
frente cara,1
cara presente,1
presente sei,1
sei vou,1
vou ouvir,1
ouvir mesma,1
mesma história,1
história porca,1
porca motivo,1
motivo festa,1
ora sei,1
sei rir,1
rir toa,1
toa fique,1
fique mente,1
mente positiva,1
positiva quero,1
quero voz,2
voz ativa,1
ativa boa,1
boa pois,1
pois pessoa,1
pessoa canoa,1
canoa nela,1
nela embarco,1
embarco pessoa,1
pessoa palavra,1
palavra pessoa,1
pessoa hoje,1
hoje soa,1
soa bem,1
bem pouco,1
pouco importa,1
importa impediu,1
impediu feliz,1
feliz nunca,1
nunca jamais,1
jamais bateu,1
bateu porta,1
porta nariz,1
nariz ninguém,1
ninguém gente,1
gente nordeste,1
nordeste ficção,1
ficção nordeste,1
nordeste nunca,1
nunca lugar,1
lugar esquecidos,1
esquecidos nação,1
nação condenados,1
condenados sertão,1
sertão ofendidos,1
ofendidos sabe,1
sabe bem,1
bem conheço,1
lugar bem,1
bem guarde,1
guarde frase,1
frase mim,1
mim dentro,1
dentro canção,1
canção esconda,1
esconda beijo,1
beijo mim,1
mim sob,1
sob dobras,1
dobras blusão,1
blusão quero,1
quero gole,1
gole cerveja,1
cerveja copo,1
copo colo,1
colo nesse,1
nesse bar,1
bar bem,1
bem lugar,1
onde quer,1
quer quero,1
quero cabeça,1
cabeça pensa,1
pensa quero,1
quero alma,1
alma deseja,1
deseja arco-íris,1
arco-íris anjo,1
anjo rebelde,1
rebelde quero,1
quero corpo,2
corpo pressa,1
pressa viver,3
viver amar,2
amar abrace,1
abrace beije,1
beije bem,1
bem devagar,1
devagar tempo,1
tempo tempo,3
tempo apaixonar,1
apaixonar tempo,1
tempo ouvir,1
ouvir rádio,1
rádio carro,1
carro tempo,1
tempo turma,1
turma outro,1
outro bairro,1
bairro ver,1
ver saber,1
saber amo,1
amo bem,1
bem mundo,1
mundo inteiro,1
inteiro naquela,1
naquela estrada,1
estrada ali,1
ali frente,1
frente tome,1
tome refrigerante,1
refrigerante coma,1
coma cachorro-quente,1
cachorro-quente sim,1
sim outra,1
outra viagem,2
viagem coração,1
coração selvagem,1
selvagem pressa,1
viver bem,1
bem vida,1
vida violentar,1
violentar pediremos,1
pediremos bom,1
bom deus,2
deus ajude,1
ajude falaremos,1
falaremos vida,1
vida vida,1
vida pisa,1
pisa devagar,1
devagar coração,1
coração cuidado,1
cuidado frágil,1
frágil coração,1
coração vidro,1
vidro beijo,1
beijo novela,1
novela bem,1
bem talvez,2
talvez possa,1
possa compreender,1
compreender solidão,1
solidão som,1
som fúria,2
fúria pressa,1
viver jeito,1
jeito deixar,2
deixar sempre,2
sempre lado,2
lado certeza,2
certeza arriscar,1
arriscar tudo,1
novo paixão,1
paixão andar,1
andar caminho,1
caminho errado,1
errado simples,1
simples alegria,1
alegria bem,1
vem viver,4
viver comigo,3
comigo vem,3
vem correr,3
correr perigo,3
perigo vem,3
vem morrer,2
morrer comigo,2
comigo bem,2
bem bem,8
talvez morra,1
morra jovem,1
jovem alguma,1
alguma curva,1
curva caminho,1
caminho algum,1
algum punhal,1
punhal amor,1
amor traído,1
traído completará,1
completará destino,1
destino bem,1
bem outros,2
outros cantores,4
cantores chamam,4
chamam baby,4
baby outros,2
baby osculetur,1
osculetur oscule,1
oscule oris,1
oris suis,1
suis ideo,1
ideo adolescentulae,1
adolescentulae dilexerunt,1
dilexerunt nigra,1
nigra sum,1
sum sent,1
sent formosa,1
formosa tomorrow,1
tomorrow another,1
another day,1
day anyway,1
anyway nolite,1
nolite considerare,1
considerare quod,1
quod fusca,1
fusca sim,1
sim quia,1
quia decoloravit,1
decoloravit sol,1
sol 's,1
's alright,1
alright 'm,1
'm bleeding,1
bleeding comes,1
sun indica,1
indica mihi,1
mihi dirigit,1
dirigit anima,1
anima mea,1
mea ube,1
ube pascas,1
pascas ube,1
ube cubes,1
cubes meridie,1
meridie come,1
come love,1
love ego,1
ego dilecto,1
dilecto meo,1
meo et,1
et dilectos,1
dilectos mihi,1
mihi 've,1
've got,1
got skin,1
skin really,1
really ego,1
ego flos,1
flos campi,1
campi et,1
et lilium,1
lilium convallium,1
convallium veni,1
veni dilecte,1
dilecte mi,1
mi egrediamur,1
egrediamur agrum,1
agrum commoremur,1
commoremur villis,1
villis ibi,1
ibi dabo,1
dabo tibi,1
tibi ubera,1
ubera mea,1
mea quam,2
quam pulchra,2
pulchra es,2
es amica,1
amica mea,2
es umbilicus,1
umbilicus tuus,1
tuus crater,1
crater tornalitis,1
tornalitis numquam,1
numquam indigens,1
indigens poculis,1
poculis venter,1
venter tuus,1
tuus sicut,1
sicut acervus,1
acervus tritici,1
tritici vallatus,1
vallatus liliis,1
liliis duo,1
duo ubera,1
ubera sicut,1
sicut duo,1
duo hinnuli,1
hinnuli gemelli,1
gemelli capreae,1
capreae absque,1
absque occultis,1
occultis tuis,1
tuis apori,1
apori mihi,1
mihi 'soror,1
'soror mea,1
mea amica,1
mea columba,1
columba mea,1
mea immaculata,1
immaculata mea,1
mea dilectus,1
dilectus misit,1
misit manum,1
manum per,1
per foramen,1
foramen et,1
et venter,1
venter intremuit,1
intremuit ad,1
ad tactum,1
tactum eius,1
eius qui,1
qui faciemus,1
faciemus sorori,1
sorori nostrae,1
nostrae die,1
die alloquenda,1
alloquenda est,1
est sub,1
sub arbore,1
arbore malo,1
malo suscitavi,1
suscitavi ibi,1
ibi corrupta,1
corrupta est,1
est mater,1
mater ibi,1
ibi violata,1
violata est,1
est genitrix,1
genitrix pone,1
pone ut,1
ut signaculum,2
signaculum super,2
super cor,1
cor tuum,1
tuum ut,1
super brachium,1
brachium tuum,1
tuum fortis,1
fortis est,1
est ut,1
ut mors,1
mors dilectio,1
dilectio cuidar,1
cuidar homem,4
homem cuidar,2
homem solução,1
solução rima,1
rima raimundo,1
raimundo chegado,1
chegado fim,1
fim tudo,1
tudo eo,1
eo mundo,1
mundo pode,1
pode acabar,1
acabar tanto,1
tanto ver,1
ver fiquei,1
fiquei cego,1
cego surdo,1
surdo tanto,1
tanto escutar,1
escutar ainda,1
ainda sinto,1
sinto gente,1
gente posso,1
posso respirar,1
respirar veneno,1
veneno toda,1
toda terra,1
terra mil,1
mil fumaças,1
fumaças ar,1
ar pássaro,1
pássaro bicho,1
bicho monte,1
monte líquido,1
líquido lixo,1
lixo tornou,1
tornou água,1
água mar,1
mar cuidar,1
homem pensava,1
pensava hiroshima,1
hiroshima amor,1
amor sido,1
sido exemplo,1
exemplo bomba,1
bomba hidrogênio,1
hidrogênio bomba,1
bomba atômica,1
atômica nenhuma,1
nenhuma simpatia,1
simpatia raça,1
raça humana,1
humana pode,1
pode insitir,1
insitir desrespeito,1
desrespeito tão,1
tão flagrante,1
flagrante direito,1
direito existir,1
existir talvez,1
talvez caras,1
caras bela,1
bela dama,1
dama amor,1
amor puro,1
puro fizessem,1
fizessem fama,1
fama sobre,1
sobre cama,1
cama autores,1
autores futuro,1
futuro enquanto,1
enquanto dementes,1
dementes tomam,1
tomam amantes,1
amantes bombas,1
bombas usinas,1
usinas canto,1
canto danço,1
danço fumo,1
fumo bebo,1
bebo gozo,1
gozo meninas,1
meninas vier,1
vier ingênuo,1
ingênuo artista,1
artista louco,1
louco digo,1
digo concordo,1
concordo pinto,1
pinto bordo,1
bordo vivo,1
vivo ainda,1
ainda acho,1
acho pouco,1
pouco sempre,1
sempre novo,1
novo afirmar,1
afirmar faça,1
faça guerra,1
guerra faça,1
faça amor,1
amor viva,1
viva vida,1
vida instintos,1
instintos poder,1
poder flor,1
flor mamãe,1
mamãe crescer,3
crescer quero,3
quero artista,1
artista sucesso,1
sucesso grana,1
grana fama,1
fama tesão,1
tesão bárbaros,1
bárbaros feira,1
feira reles,1
reles conformista,1
conformista nenhum,1
nenhum supermercado,1
supermercado satisfaz,1
satisfaz coração,1
coração mamãe,1
quero rebelde,1
rebelde conseguir,1
conseguir licença,1
licença broto,1
broto patrão,1
patrão gandhi,1
gandhi dandy,1
dandy grande,1
grande milionário,1
milionário socialista,1
socialista carrão,1
carrão chegou,1
chegou rápido,1
rápido revolução,1
revolução ahh,1
ahh quanto,2
quanto rock,2
rock dando,2
dando toque,2
toque tanto,2
tanto blues,2
blues óculos,2
óculos escuros,2
escuros vendo,2
vendo vida,2
vida mundo,2
mundo azul,2
azul mamãe,1
quero adolescente,1
adolescente planeta,1
planeta juventude,1
juventude haverá,1
haverá vida,1
vida inteligente,1
inteligente plantar,1
plantar livro,1
livro escrever,1
escrever árvores,1
árvores criar,1
criar filho,1
filho feliz,1
feliz porquinho,1
porquinho fazer,1
fazer novo,1
novo tudo,1
tudo fiz,1
fiz ahh,1
azul sob,1
sob luzes,2
luzes medo,1
medo nada,1
nada face,1
face oculta,1
oculta lua,1
lua aparece,1
aparece iluminada,1
iluminada escondo,1
escondo sendo,1
sendo mulher,1
mulher igual,1
igual namorada,1
namorada vês,1
vês mostro,1
mostro estrela,1
estrela grandeza,1
grandeza inesperada,1
inesperada musa,1
musa deusa,1
deusa mulher,1
mulher cantora,1
cantora bailarina,1
bailarina força,1
força masculina,1
masculina atrai,1
atrai ilusão,1
ilusão história,1
história fez,1
fez faz,1
faz homem,1
homem destina,1
destina maior,1
maior deus,1
deus filho,1
filho adão,1
adão anjo,1
anjo herói,1
herói prometeu,1
prometeu poeta,1
poeta dançarino,1
dançarino glória,1
glória feminina,1
feminina existe,1
existe fez,1
fez vão,1
vão destina,1
destina vida,1
vida gozo,1
gozo imagina,1
imagina louco,1
louco pensou,1
pensou vida,1
vida paixão,2
paixão fábrica,1
fábrica apitou,1
apitou trabalho,1
trabalho terminou,1
terminou todo,1
mundo mandou,1
mandou desejos,1
desejos voltar,1
voltar mar,1
mar tá,1
tá peixe,1
peixe mulata,1
mulata negues,1
negues cabelo,1
cabelo aproveitando,1
aproveitando deixa,1
deixa vem,1
viver comer,1
comer vem,1
vem dar,1
dar renascer,1
renascer descansar,1
descansar sol,1
sol posto,1
posto enxuga,1
enxuga suor,1
suor rosto,1
rosto cativo,1
cativo gosto,1
gosto vivo,1
vivo berrando,1
berrando geral,1
geral moçada,1
moçada faz,1
faz fato,1
fato festa,1
festa cidade,1
cidade onde,1
gente imoral,1
imoral conheço,1
conheço lua,1
lua conheço,1
conheço quintal,1
quintal culpa,1
culpa cantei,1
cantei todo,1
todo mal,1
mal andorinha,1
andorinha contou,1
contou sozinha,1
sozinha canta,1
canta faz,1
faz verão,1
verão boi,1
boi linha,1
linha trem,1
trem mesma,1
mesma estação,1
estação resumindo,1
resumindo -até,1
-até logo,1
logo vou,1
indo fazendo,1
fazendo aqui,1
aqui quero,1
quero outro,1
outro jogo,1
jogo fogo,1
fogo engolir,1
engolir angustiado,1
angustiado goleiro,1
goleiro hora,1
hora gol,1
gol entrou,1
entrou mim,1
mim sol,1
sol quintal,1
quintal aí,1
aí analista,2
analista amigo,2
amigo disse,2
disse desse,2
jeito vou,2
feliz direito,2
direito porque,2
porque amor,2
coisa profunda,2
profunda encontro,1
encontro casual,1
casual aí,1
profunda transa,1
transa sensual,1
sensual deixando,1
deixando profundidade,2
profundidade lado,2
lado quero,2
quero ficar,4
ficar colado,2
colado pele,2
pele noite,2
noite dia,2
dia fazendo,2
fazendo tudo,2
novo dizendo,2
dizendo sim,2
sim paixão,2
paixão morando,2
morando filosofia,2
filosofia deixando,1
filosofia quero,1
gozar céu,2
céu pode,2
pode inferno,2
inferno viver,2
viver divina,2
divina comédia,2
comédia humana,2
humana onde,2
onde nada,2
nada eterno,2
eterno quero,1
eterno ora,1
ora direis,2
direis ouvir,2
ouvir estrelas,2
estrelas certo,2
certo perdeste,2
perdeste senso,2
senso direi,2
direi entanto,2
entanto enquanto,2
enquanto espaço,2
espaço corpo,2
corpo tempo,2
tempo algum,2
algum modo,2
modo dizer,2
dizer canto,2
canto ora,1
canto fê-pê,1
fê-pê lê-pê,1
lê-pê o-pô,1
o-pô rê-pê,1
rê-pê aflor,1
aflor mar,1
mar céu,2
céu rose,1
rose selavy,1
selavy lê-pê,1
lê-pê a-pá,1
a-pá ga-pá,1
ga-pá o-pô,1
o-pô o-pô,1
o-pô quê-pê,1
quê-pê giocondadá,1
giocondadá flor,1
flor campo,1
campo ay,1
ay moça,1
moça ready,1
made passando,1
passando virgem,1
virgem noiva,1
noiva non,1
non sense,1
sense humour,1
humour máquina,1
máquina viver,1
viver ay,1
ay fonte,1
fonte nu,1
nu descendo,1
descendo novo,1
novo lance,1
lance escadados,1
escadados orei,1
orei rainha,1
rainha cavalo,1
cavalo peão,1
peão grande,1
grande vidro,1
vidro xadrez,1
xadrez cê-pê,1
cê-pê a-pá,1
a-pá nê-pê,1
nê-pê tê-pê,1
tê-pê a-pá,1
a-pá rê-pê,1
rê-pê cantar,1
cantar mar,1
céu vie,1
vie en,1
en rose,1
rose aqui,1
aqui estuve,1
estuve pensando,1
pensando en,2
en ti,2
ti xyz,2
xyz mi,2
mi problema,2
problema culpa,2
culpa cinema,2
cinema a-e-i-o-u,1
a-e-i-o-u doble,1
doble dobre,1
dobre cartinha,1
cartinha juju,1
juju misanu,1
misanu a-e-i-o-u,1
a-e-i-o-u dabliú,1
dabliú dabliú,1
dabliú partilha,1
partilha ubu,1
ubu noiva,1
noiva maria,1
maria denudada,1
denudada parceiros,1
parceiros solteiros,1
solteiros ay,1
ay dama,1
dama fliperama,1
fliperama mulher-objeto,1
mulher-objeto trovado,1
trovado chão,1
chão sonho,1
sonho dinheiro,1
dinheiro compra,1
compra pedra,1
pedra toque,1
toque palavraclosada,1
palavraclosada trova,1
trova clusada,1
clusada kitsh,1
kitsh goliardo,1
goliardo inventa-provença,1
inventa-provença canção,1
canção a/b/c/d/e/fê/guê/,1
a/b/c/d/e/fê/guê/ agá/i/k/lê/mê/,1
agá/i/k/lê/mê/ n/o/p/q/rê/,1
n/o/p/q/rê/ stuv,1
stuv pensando,1
cinema dia,1
dia falou,1
falou andaluzia,1
andaluzia valladolid,1
valladolid granada,1
granada fica,1
fica além,1
além mar,1
mar espanha,1
espanha molhou,1
molhou vinho,1
vinho pão,1
pão falou,1
falou coisas,1
coisas brasil,1
brasil fmi,1
fmi tom,1
tom poeta,1
poeta tombado,1
tombado guerra,1
civil homem,1
homem máquina,1
máquina então,1
então então,1
então falou,1
falou vá,1
vá embora,1
embora poeta,1
poeta maldito,1
maldito tempo,1
tempo maldito,1
maldito terminou,1
terminou embora,1
embora sorrindo,1
sorrindo ligar,1
ligar nada,1
nada vou,1
vou ligar,1
ligar coisas,1
coisas alma,1
alma apaixonada,1
apaixonada cabelo,1
cabelo negro,1
negro negro,1
negro asa,1
asa graúna,1
graúna negro,1
negro sutil,1
sutil preto,1
preto tipos,1
tipos pretos,1
pretos compõem,1
compõem palavra,1
palavra anil,1
anil noite,1
noite entro,1
entro cinemascope,1
cinemascope tecnicolor,1
tecnicolor world,1
world vision,1
vision daqueles,1
daqueles cowboy,1
cowboy vale,1
vale boa,1
boa vida,1
vida playboy,1
playboy compro,1
compro ópio,1
ópio barato,1
barato duas,1
duas gâmbias,1
gâmbias pouco,1
pouco dói,1
dói entro,1
entro estádio,1
estádio solidão,1
solidão rói,1
rói quero,1
quero mandar,2
mandar alto,2
alto pensam,2
pensam mandar,2
mandar beleléu,2
beleléu tudo,2
tudo vá,5
vá céu,4
céu quero,1
céu tudo,2
céu bem,1
bem admire,1
admire carro,1
carro goze,1
goze sozinha,1
sozinha enquanto,1
enquanto fumo,1
fumo cigarro,1
cigarro cuidado,1
cuidado atenção,1
atenção oooh,1
oooh oooh,4
oooh vá,1
vá quebrar,1
quebrar nenhum,1
nenhum coração,1
coração podemos,1
podemos deitar,1
deitar saberá,1
saberá saberá,1
saberá puro,1
puro flertar,1
flertar paraíso,1
paraíso perdido,1
perdido meros,1
meros toque,1
toque eros,1
eros sarro,1
sarro tesão,1
tesão oooh,1
oooh bad,2
bad bed,2
bed bed,2
bed times,2
times 1,1
1 peitos,1
peitos jeito,1
jeito pego,1
pego deleito,1
deleito flor,1
flor umbigo,1
umbigo oooh,1
oooh ainda,1
ainda ponho,1
ponho camisa,1
camisa avisa,1
avisa precisa,1
precisa ca,1
ca n't,2
n't get,2
get satisfaction,2
satisfaction oooh,1
times onde,1
onde puros,1
puros saberes,1
saberes onde,1
onde fúria,1
fúria seres,1
seres humanos,3
humanos contra,1
contra ira,1
ira deuses,1
deuses cena,1
cena obscena,1
obscena pedir,1
pedir pedir,1
pedir favor,1
favor nada,1
nada amor,1
amor ca,1
satisfaction instrumental,1
instrumental repete,1
repete 1,1
1 diante,1
diante baby,1
baby respondo,1
respondo enfim,1
enfim carta,1
carta fã,1
fã mandou,1
mandou mim,1
mim sabe,1
sabe quase,1
quase ia,1
ia fazendo,1
fazendo canção,1
canção tropical,1
tropical pediu,1
pediu mentalidade,1
mentalidade mediana,1
mediana imitar,1
imitar jorge,1
jorge ben,1
ben favor,1
favor confunda,1
confunda coisas,1
coisas toda,1
toda canção,1
canção vulgar,1
vulgar cara,1
cara difícil,1
difícil domesticar,1
domesticar gato,1
gato violento,1
violento cruel,1
cruel ora,1
ora ouviu,1
ouviu falar,1
falar política,2
política poema,1
poema poema,1
poema tempo,1
tempo sex,1
sex drug,1
drug rock,1
roll computador,1
computador engane,1
engane poetariado,1
poetariado roqueiro,1
roqueiro fingido,1
fingido estreando,1
estreando vida,1
vida fácil,1
fácil amor,1
amor obrigado,1
obrigado brando,1
brando subúrbio,1
subúrbio garoto,1
garoto aluguel,1
aluguel nenhum,1
nenhum alain,1
alain delon,1
delon terminar,1
terminar livro,1
livro cabeceira,1
cabeceira ler,1
ler todo,1
todo corpo,1
corpo fala,1
